"  0.001649   0.000000   0.001649 (  0.001645)
";"  3.595044   0.003998   3.599042 (  3.600535)
";"  8.698227   0.007999   8.706226 (  8.763972)
";" 11.946191   0.015992  11.962183 ( 12.027895)
";"  0.037242   0.000001   0.037243 (  0.037252)
"
"  0.001739   0.000000   0.001739 (  0.001739)
";"  3.693338   0.003997   3.697335 (  3.697825)
";"  9.392791   0.012000   9.404791 (  9.406186)
";" 12.738486   0.000001  12.738487 ( 12.740077)
";"  0.038143   0.000000   0.038143 (  0.038150)
"
"  0.000000   0.001810   0.001810 (  0.001810)
";"  3.968467   0.006126   3.974593 (  3.975153)
";"  9.942879   0.000000   9.942879 (  9.944161)
";" 13.224689   0.000003  13.224692 ( 13.226347)
";"  0.036262   0.003996   0.040258 (  0.040267)
"
"  0.001889   0.000000   0.001889 (  0.001888)
";"  4.208255   0.000000   4.208255 (  4.208804)
";" 10.881559   0.000000  10.881559 ( 10.883299)
";" 14.285466   0.000000  14.285466 ( 14.287667)
";"  0.040173   0.003999   0.044172 (  0.044179)
"
"  0.001992   0.000000   0.001992 (  0.002001)
";"  4.430849   0.003997   4.434846 (  4.435519)
";" 11.785971   0.000001  11.785972 ( 11.787792)
";" 15.852174   0.004001  15.856175 ( 15.858630)
";"  0.042915   0.000000   0.042915 (  0.042928)
"
"  0.002003   0.000000   0.002003 (  0.002001)
";"  4.823694   0.000000   4.823694 (  4.824379)
";" 12.307505   0.000000  12.307505 ( 12.308874)
";" 17.182411   0.019996  17.202407 ( 17.205105)
";"  0.049337   0.000001   0.049338 (  0.049347)
"
"  0.001991   0.000000   0.001991 (  0.001991)
";"  5.689280   0.003999   5.693279 (  5.694029)
";" 14.137470   0.051990  14.189460 ( 14.193216)
";" 17.713461   0.004000  17.717461 ( 17.719955)
";"  0.045676   0.000000   0.045676 (  0.045685)
"
"  0.002085   0.000000   0.002085 (  0.002083)
";"  5.691177   0.000000   5.691177 (  5.691967)
";" 14.899609   0.007999  14.907608 ( 14.909858)
";" 19.436535   0.019868  19.456403 ( 19.459392)
";"  0.045636   0.000000   0.045636 (  0.045644)
"
"  0.000959   0.001119   0.002078 (  0.002075)
";"  5.904942   0.000001   5.904943 (  5.905870)
";" 14.963518   0.007998  14.971516 ( 14.973632)
";" 20.459652   0.007998  20.467650 ( 20.470489)
";"  0.051926   0.000000   0.051926 (  0.051935)
"
"  0.002282   0.000000   0.002282 (  0.002282)
";"  6.367407   0.007998   6.375405 (  6.376331)
";" 16.013496   0.019997  16.033493 ( 16.035548)
";" 22.566514   0.031993  22.598507 ( 22.604240)
";"  0.052308   0.000000   0.052308 (  0.052327)
"
"  0.002376   0.000000   0.002376 (  0.002376)
";"  7.374998   0.011997   7.386995 (  7.388052)
";" 16.720701   0.012000  16.732701 ( 16.735041)
";" 22.106064   0.027994  22.134058 ( 22.137075)
";"  0.053425   0.000001   0.053426 (  0.053443)
"
"  0.002319   0.000001   0.002320 (  0.002321)
";"  6.791299   0.003997   6.795296 (  6.796055)
";" 18.090981   0.012000  18.102981 ( 18.105345)
";" 23.591145   0.007998  23.599143 ( 23.603750)
";"  0.054726   0.000000   0.054726 (  0.054739)
"
"  0.002449   0.000000   0.002449 (  0.002450)
";"  7.516318   0.000000   7.516318 (  7.518911)
";" 19.298442   0.000000  19.298442 ( 19.304078)
";" 25.793524   0.019997  25.813521 ( 25.817345)
";"  0.056891   0.000001   0.056892 (  0.056908)
"
"  0.002503   0.000000   0.002503 (  0.002502)
";"  7.803697   0.015996   7.819693 (  7.820814)
";" 19.880747   0.015998  19.896745 ( 19.899367)
";" 25.856840   0.007999  25.864839 ( 25.867832)
";"  0.061638   0.000001   0.061639 (  0.061658)
"
"  0.002731   0.000000   0.002731 (  0.002740)
";"  8.169677   0.000000   8.169677 (  8.172448)
";" 21.501925   0.003999  21.505924 ( 21.509789)
";" 28.905527   0.019996  28.925523 ( 28.929702)
";"  0.067711   0.000000   0.067711 (  0.067721)
"
"  0.002747   0.000001   0.002748 (  0.002748)
";"  9.161505   0.015997   9.177502 (  9.178690)
";" 26.167649   0.011984  26.179633 ( 26.211555)
";" 30.960058   0.008000  30.968058 ( 30.972130)
";"  0.077799   0.000000   0.077799 (  0.077817)
"
"  0.002784   0.000000   0.002784 (  0.002782)
";"  9.489975   0.003998   9.493973 (  9.495131)
";" 24.740813   0.007997  24.748810 ( 24.754664)
";" 31.421282   0.004002  31.425284 ( 31.429178)
";"  0.065075   0.000001   0.065076 (  0.065085)
"
"  0.002769   0.000000   0.002769 (  0.002768)
";" 10.256203   0.000000  10.256203 ( 10.259663)
";" 25.170272   0.027994  25.198266 ( 25.202683)
";" 33.018729   0.023994  33.042723 ( 33.049305)
";"  0.065712   0.000001   0.065713 (  0.065736)
"
"  0.002912   0.000000   0.002912 (  0.002912)
";"  9.961629   0.000000   9.961629 (  9.963303)
";" 25.678561   0.019997  25.698558 ( 25.701664)
";" 34.342101   0.007999  34.350100 ( 34.355897)
";"  0.081630   0.000000   0.081630 (  0.081643)
"
"  0.003034   0.000000   0.003034 (  0.003034)
";" 11.073889   0.000000  11.073889 ( 11.076404)
";" 26.869500   0.007998  26.877498 ( 26.882020)
";" 34.926461   0.019997  34.946458 ( 34.950683)
";"  0.069103   0.000001   0.069104 (  0.069115)
"
"  0.003037   0.000000   0.003037 (  0.003038)
";" 11.208955   0.011999  11.220954 ( 11.222675)
";" 28.040387   0.023996  28.064383 ( 28.068388)
";" 39.307127   0.067989  39.375116 ( 39.388235)
";"  0.071488   0.000003   0.071491 (  0.071501)
"
"  0.003067   0.000000   0.003067 (  0.003066)
";" 12.034238   0.003999  12.038237 ( 12.039796)
";" 30.513587   0.007996  30.521583 ( 30.529798)
";" 39.062548   0.019994  39.082542 ( 39.089371)
";"  0.072610   0.004000   0.076610 (  0.076637)
"
"  0.003271   0.000000   0.003271 (  0.003271)
";" 12.153117   0.007997  12.161114 ( 12.163081)
";" 30.590859   0.004002  30.594861 ( 30.598666)
";" 38.618758   0.007999  38.626757 ( 38.631203)
";"  0.069052   0.003998   0.073050 (  0.073061)
"
"  0.000000   0.003521   0.003521 (  0.003522)
";" 13.019421   0.000409  13.019830 ( 13.021281)
";" 31.803974   0.015998  31.819972 ( 31.823546)
";" 40.376847   0.008001  40.384848 ( 40.389762)
";"  0.083152   0.000000   0.083152 (  0.083166)
"
"  0.004366   0.000000   0.004366 (  0.004367)
";" 13.083420   0.000000  13.083420 ( 13.085133)
";" 32.957483   0.012000  32.969483 ( 32.977007)
";" 43.984090   0.015997  44.000087 ( 44.006383)
";"  0.077509   0.000001   0.077510 (  0.077522)
"
"  0.003400   0.000000   0.003400 (  0.003400)
";" 13.617977   0.007999  13.625976 ( 13.627683)
";" 34.944381   0.063988  35.008369 ( 35.015583)
";" 45.683052   0.019996  45.703048 ( 45.708989)
";"  0.076457   0.000000   0.076457 (  0.076470)
"
